Artist,Album,Year,Listened To?,Bought,Want,Don't want
Jaki Byard,Sunshine Of My Soul,1966
Horace Silver,The Jody Grind,1966
Larry Young,Of Love And Peace,1966
Lee Morgan,Delightfulee,1966
Sonny Simmons,Music From The Spheres,1966
Dewey Redman,Look for the Black Star,1966
Sunny Murray,Sunny Murray Quintet,1966
Sun Ra,Atlantis,1967
Gary Burton,A Genuine Tong Funeral,1967
Sam Rivers,Dimensions And Extensions,1967
Roscoe Mitchell,Old Quartet,1967
Bill Dixon,Intents And Purposes,1967
George Russell,Othello Ballet Suite,1967
Muhal Richard Abrams,Levels and Degrees of Light,1967
Archie Shepp,The Magic of Ju-Ju,1967
Jackie McLean,New and Old Gospel,1967
John Coltrane,Interstellar Space,1967
Frank Wright,Your Prayer,1967
Spontaneous Music Ensemble,Withdrawal,1967
Peter Broetzmann,For Adolph Sax,1967
Chick Corea,Now He Sings Now He Sobs,1967
Miles Davis,Nefertiti,1967
Jackie McLean,Demon's Dance,1967
Miles Davis,Sorcerer,1967
Gary Burton,Duster,1967
John Coltrane,Expression,1967
McCoyTyner,The Real McCoy,1967
Wayne Shorter,Schizophrenia,1967
Lee Konitz,Duets,1967
Paul Bley,Virtuosi,1967
Lester Bowie,Numbers 1 & 2,1967
Paul Bley,Ballads,1967
Michael Mantler,Jazz Composers' Orchestra,1968
Roscoe Mitchell,Congliptious,1968
Don Cherry,Eternal Rhythm,1968
Miles Davis,Filles de Kilimanjaro,1968
Peter Broetzmann,Machine Gun,1968
John Surman,John Surman,1968
Spontaneous Music Ensemble,Karyobin,1968
Kenny Wheeler,Windmill Tilter,1968
Modern Jazz Quartet,Under the Jasmine Tree,1968
Roland Kirk,Left And Right,1968
Sun Ra,Outer Spaceways Incorporated,1968
Horace Silver,Serenade to a Soul Sister,1968
Paul Horn,Inside The Taj Mahal,1968
McCoyTyner,Expansions,1968
Gary Bartz,Another Earth,1968
Pat Martino,Baiyina,1968
Charles Tolliver,Paper Man,1968
Herbie Hancock,Speak Like A Child,1968
Miles Davis,Miles in the Sky,1968
Dave Burrell,High Won High Two,1968
Anthony Braxton,For Alto,1968
Anthony Braxton,For Alto,1969
Don Cherry,Mu,1969
Miles Davis,Bitches Brew,1969
Pharoah Sanders,Karma,1969
Miles Davis,In a Silent Way,1969
Art Ensemble of Chicago,People in Sorrow,1969
Art Ensemble of Chicago,Reese and the Smooth Ones,1969
Kalaparusha Maurice McIntyre,Humility In The Light Of Creator,1969
George Russell,Electronic Sonata For Souls Loved By Nature,1969
Dollar Brand,African Piano,1969
Guenter Hampel,The 8th of July 1969,1969
Roland Kirk,Rahsaan Rahsaan,1969
Pharoah Sanders,Jewels Of Thought,1969
Archie Shepp,Yasmina,1969
Art Ensemble of Chicago,A Jackson In Your House,1969
Charles Tolliver,The Ringer,1969
Joe McPhee,Underground Railroad,1969
Jan Garbarek,Esoteric Circle,1969
Pharoah Sanders,Izipho Zam,1969
Art Ensemble of Chicago,Message to our Folks,1969
Sunny Murray,Homage to Africa,1969
Chick Corea,Is,1969
Dave Burrell,Echo,1969
Dewey Redman,Tarik,1969
Willem Breuker,Lunchconcert For Three Barrel-organs,1969
Joe Harriott,Hum-Dono,1969
Peter Broetzmann,Nipples,1969
Charles Earland,Black Talk,1969
Wolfgang Dauner,Fuer,1969
Eric Kloss,To Hear Is To See,1969,,,,
Leon Thomas,Spirits Known and Unknown,1969,,,,
Miroslav Vitous,Moutain in the Clouds,1969,,,,
Tony Williams,Emergency,1969,,,,
Archie Shepp,Blase',1969,,,,
Dollar Brand,African Sketchbook,1969,,,,
